IBI,Cump,NB,distancia
3.746,NC,2,menos de 30m
14.333,NC,2,menos de 30m
13.248,NC,1,menos de 30m
43.387,NC,2,menos de 30m
10.244,NC,1,menos de 30m
10.004,NC,2,menos de 30m
12.998,NC,2,menos de 30m
7.497,NC,2,menos de 30m
24.518,NC,2,menos de 30m
5.487,NC,3,menos de 30m
21.452,NC,3,menos de 30m
4.971,NC,3,menos de 30m
23.01,NC,3,menos de 30m
14.755,NC,3,menos de 30m
16.743,NC,3,menos de 30m
7.487,NC,3,menos de 30m
19.775,NC,2,menos de 30m
13.724,NC,3,menos de 30m
6.263,NC,3,menos de 30m
35.922,CC,0,mas de 30m
18.3,CC,0,mas de 30m
16,CC,0,mas de 30m
50,CC,0,mas de 30m
22.291,CC,0,mas de 30m
53.993,CC,0,mas de 30m
24.013,CC,0,mas de 30m
15.501,CC,1,mas de 30m
26.25,CC,1,mas de 30m
24.491,CC,1,mas de 30m
45.755,CC,1,mas de 30m
35.028,CC,1,mas de 30m
11.97,CC,1,mas de 30m
12.003,CC,1,mas de 30m
10.507,CC,1,mas de 30m
8.493,CC,1,mas de 30m
26.251,CC,1,mas de 30m
31.748,CC,1,mas de 30m
33.248,CC,1,mas de 30m
61.258,CC,1,mas de 30m
36.14,CC,1,mas de 30m
31.981,CC,1,mas de 30m
17.524,CC,1,mas de 30m
36.993,CC,1,mas de 30m
48.223,CC,1,mas de 30m
35.504,CC,1,mas de 30m
36.994,CC,1,mas de 30m
14.483,CC,1,mas de 30m
38.76,CC,1,mas de 30m
32.533,CC,1,mas de 30m
12.744,CC,1,mas de 30m
14.741,CC,1,mas de 30m
11.25,CC,1,mas de 30m
6.016,CC,1,mas de 30m
58.728,CC,1,mas de 30m
14.246,CC,1,mas de 30m
21.509,CC,1,mas de 30m
30.492,CC,1,mas de 30m
7.003,CC,1,mas de 30m
20.688,CC,1,mas de 30m
31.501,CC,1,mas de 30m
25.246,CC,1,mas de 30m
46.021,CC,1,mas de 30m
9.235,CC,1,mas de 30m
33,CC,1,mas de 30m
15.502,CC,1,mas de 30m
22.744,CC,1,mas de 30m
14.502,CC,1,mas de 30m
11.998,CC,1,mas de 30m
85.648,CC,1,mas de 30m
15.748,CC,1,mas de 30m
46.168,CC,1,mas de 30m
27.759,CC,0,mas de 30m
14.242,CC,0,mas de 30m
36.462,CC,0,mas de 30m
28.845,CC,0,mas de 30m
10.574,CC,0,mas de 30m
37.956,CC,1,mas de 30m
49.018,CC,1,mas de 30m
70.227,CC,1,mas de 30m
11.512,CC,0,mas de 30m
18.986,CC,1,mas de 30m
47.967,CC,1,mas de 30m
14.49,CC,1,mas de 30m
57.358,CC,2,mas de 30m
47.747,CC,2,mas de 30m
21.707,CC,2,mas de 30m
63.248,CC,2,mas de 30m
15.005,CC,2,mas de 30m
24.503,CC,1,mas de 30m
41.542,CC,1,mas de 30m
41.293,CC,1,mas de 30m
21.674,CC,1,mas de 30m
14.001,CC,1,mas de 30m
48.507,CC,3,mas de 30m
13.987,CC,1,mas de 30m
8.544,CC,1,mas de 30m
18.881,CC,1,mas de 30m
43.748,CC,1,mas de 30m
59.485,CC,1,mas de 30m
49.769,CC,1,mas de 30m
7.989,CC,1,mas de 30m
14.261,CC,1,mas de 30m
8.987,CC,1,mas de 30m
9.278,CC,1,mas de 30m
95.964,CC,1,mas de 30m
8.008,CC,1,mas de 30m
32.022,CC,1,mas de 30m
5.5,CC,1,mas de 30m
6.25,CC,1,mas de 30m
40.752,CC,1,mas de 30m
5.999,CC,1,mas de 30m
10.749,CC,1,mas de 30m
4.241,CC,1,mas de 30m
12.752,CC,1,mas de 30m
9.714,CC,0,mas de 30m
32.779,CC,0,mas de 30m
59.959,CC,1,mas de 30m
57.803,CC,0,mas de 30m
9.83,CC,0,mas de 30m
9.673,CC,0,mas de 30m
12.747,CC,0,mas de 30m
19.003,CC,0,mas de 30m
55.998,CC,0,mas de 30m
75.383,CC,0,mas de 30m
17.373,CC,0,mas de 30m
15.023,CC,0,mas de 30m
14.198,CC,0,mas de 30m
109.083,CC,0,mas de 30m
10.752,CC,0,mas de 30m
9.498,CC,0,mas de 30m
30.838,CC,0,mas de 30m
9.748,CC,0,mas de 30m
13.117,CC,0,mas de 30m
37.684,CC,0,mas de 30m
105.741,CC,0,mas de 30m
6.265,CC,0,mas de 30m
102.284,CC,1,mas de 30m
8.092,CC,1,mas de 30m
35.296,CC,1,mas de 30m
46.651,CC,1,mas de 30m
34.534,CC,1,mas de 30m
16.5,CC,1,mas de 30m
95.155,CC,1,mas de 30m
12.829,CC,1,mas de 30m
11.252,CC,1,mas de 30m
66.83,CC,1,mas de 30m
18.483,CC,1,mas de 30m
109.626,CC,1,mas de 30m
12.524,CC,1,mas de 30m
7.975,CC,1,mas de 30m
19.894,CC,1,mas de 30m
28.361,CC,1,mas de 30m
51.258,CC,1,mas de 30m
57.499,CC,1,mas de 30m
14.496,CC,1,mas de 30m
47.792,CC,1,mas de 30m
28.165,CC,1,mas de 30m
28.498,CC,1,mas de 30m
7.999,CC,1,mas de 30m
13.997,CC,1,mas de 30m
6.255,CC,1,mas de 30m
12.57,CC,1,mas de 30m
7.934,CC,1,mas de 30m
58.568,CC,1,mas de 30m
74.534,CC,1,mas de 30m
5.769,CC,1,mas de 30m
14.762,CC,1,mas de 30m
14.476,CC,1,mas de 30m
